Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,230,Department_Research & Development,Distance_Gần,3,Life Sciences,3,Male,54,3,1,JobRole_Laboratory Technician,3,Single,Income_Thấp,Upto 5k,25233,1,No,13,3,3,0,0,2,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,812,Department_Sales,Distance_Gần,3,Medical,4,Female,69,2,1,JobRole_Sales Representative,3,Single,Income_Thấp,Upto 5k,9724,1,No,12,3,1,0,0,2,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,1306,Department_Sales,Distance_Gần,3,Marketing,2,Male,69,3,1,JobRole_Sales Representative,2,Single,Income_Thấp,Upto 5k,8059,1,Yes,14,3,4,0,0,3,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Non-Travel,287,Department_Research & Development,Distance_Gần,2,Life Sciences,2,Male,73,3,1,JobRole_Research Scientist,4,Single,Income_Thấp,Upto 5k,13493,1,No,15,3,4,0,0,2,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Non-Travel,247,Department_Research & Development,Distance_Gần,1,Medical,3,Male,80,3,1,JobRole_Laboratory Technician,3,Single,Income_Thấp,Upto 5k,13556,1,No,12,3,4,0,0,0,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Non-Travel,1124,Department_Research & Development,Distance_Gần,3,Life Sciences,4,Female,97,3,1,JobRole_Laboratory Technician,4,Single,Income_Thấp,Upto 5k,19305,1,No,15,3,3,0,0,5,4,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,544,Department_Sales,Distance_Gần,2,Medical,2,Female,70,3,1,JobRole_Sales Representative,4,Single,Income_Thấp,Upto 5k,18420,1,Yes,12,3,3,0,0,2,4,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Non-Travel,1431,Department_Research & Development,Distance_Vừa,3,Medical,2,Female,33,3,1,JobRole_Research Scientist,3,Single,Income_Thấp,Upto 5k,8018,1,No,16,3,3,0,0,4,1,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,528,Department_Sales,Distance_Xa,1,Marketing,4,Male,50,3,1,JobRole_Sales Representative,3,Single,Income_Thấp,Upto 5k,26820,1,Yes,19,3,4,0,0,2,2,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1181,Department_Research & Development,Distance_Gần,1,Medical,2,Female,79,3,1,JobRole_Laboratory Technician,2,Single,Income_Thấp,Upto 5k,16102,1,No,14,3,4,0,1,3,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,602,Department_Sales,Distance_Gần,1,Technical Degree,3,Female,100,1,1,JobRole_Sales Representative,1,Single,Income_Thấp,Upto 5k,20989,0,No,21,4,1,0,1,5,4,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,303,Department_Research & Development,Distance_Gần,3,Life Sciences,2,Male,47,2,1,JobRole_Laboratory Technician,4,Single,Income_Thấp,Upto 5k,9241,1,No,22,4,3,0,1,3,2,Tenure_Mới,0,1,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,489,Department_Human Resources,Distance_Gần,2,Technical Degree,1,Male,52,2,1,JobRole_Human Resources,4,Single,Income_Thấp,Upto 5k,18437,1,No,12,3,3,0,1,3,4,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,419,Department_Sales,Distance_Xa,3,Other,4,Male,37,2,1,JobRole_Sales Representative,2,Single,Income_Thấp,Upto 5k,9947,1,Yes,13,3,2,0,1,3,4,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,645,Department_Research & Development,Distance_Gần,2,Life Sciences,3,Male,54,3,1,JobRole_Research Scientist,1,Single,Income_Thấp,Upto 5k,7172,1,No,25,4,3,0,1,4,3,Tenure_Mới,1,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Non-Travel,504,Department_Research & Development,Distance_Gần,3,Medical,1,Female,96,2,1,JobRole_Research Scientist,2,Single,Income_Thấp,Upto 5k,6148,1,Yes,25,4,2,0,1,2,4,Tenure_Mới,1,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,265,Department_Research & Development,Distance_Xa,3,Life Sciences,2,Female,57,4,1,JobRole_Research Scientist,4,Single,Income_Thấp,Upto 5k,21221,1,Yes,12,3,4,0,1,2,3,Tenure_Mới,0,0,1.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,871,Department_Research & Development,Distance_Gần,3,Life Sciences,4,Female,66,2,1,JobRole_Laboratory Technician,4,Single,Income_Thấp,Upto 5k,19783,1,Yes,18,3,2,0,1,5,3,Tenure_Mới,0,1,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,959,Department_Research & Development,Distance_Gần,3,Life Sciences,4,Female,83,2,1,JobRole_Research Scientist,2,Single,Income_Thấp,Upto 5k,11757,1,No,13,3,4,0,1,0,4,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,1362,Department_Research & Development,Distance_Gần,1,Medical,4,Male,32,3,1,JobRole_Research Scientist,3,Single,Income_Thấp,Upto 5k,26999,1,Yes,11,3,4,0,1,5,3,Tenure_Mới,0,1,1.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,500,Department_Sales,Distance_Gần,3,Medical,3,Female,49,2,1,JobRole_Sales Representative,3,Single,Income_Thấp,Upto 5k,22052,1,No,13,3,4,0,2,3,2,Tenure_Mới,2,0,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,129,Department_Research & Development,Distance_Gần,3,Technical Degree,1,Male,84,3,1,JobRole_Laboratory Technician,1,Single,Income_Thấp,Upto 5k,13008,1,No,19,3,2,0,1,2,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,1097,Department_Research & Development,Distance_Vừa,3,Medical,4,Female,98,2,1,JobRole_Research Scientist,1,Single,Income_Thấp,Upto 5k,18275,1,Yes,15,3,1,0,1,2,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,769,Department_Sales,Distance_Gần,3,Marketing,4,Female,54,3,1,JobRole_Sales Representative,4,Single,Income_Thấp,Upto 5k,17205,1,Yes,14,3,2,0,2,3,3,Tenure_Mới,2,0,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,805,Department_Research & Development,Distance_Gần,3,Life Sciences,1,Male,87,2,1,JobRole_Laboratory Technician,3,Single,Income_Thấp,Upto 5k,12828,1,No,12,3,1,0,2,2,2,Tenure_Mới,2,1,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,654,Department_Sales,Distance_Xa,3,Marketing,3,Male,43,4,1,JobRole_Sales Representative,4,Single,Income_Thấp,Upto 5k,5050,1,No,17,3,4,0,2,2,3,Tenure_Mới,1,2,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1141,Department_Sales,Distance_Gần,3,Medical,3,Female,31,3,1,JobRole_Sales Representative,3,Single,Income_Thấp,Upto 5k,13251,1,No,19,3,1,0,2,3,3,Tenure_Mới,2,2,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,727,Department_Sales,Distance_Gần,1,Life Sciences,4,Male,54,3,1,JobRole_Sales Representative,1,Single,Income_Thấp,Upto 5k,21082,1,No,11,3,1,0,2,3,3,Tenure_Mới,2,0,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,996,Department_Research & Development,Distance_Gần,2,Medical,4,Male,100,2,1,JobRole_Research Scientist,3,Single,Income_Thấp,Upto 5k,10531,1,No,17,3,1,0,3,4,4,Tenure_Mới,2,1,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,756,Department_Sales,Distance_Gần,1,Technical Degree,1,Female,99,2,1,JobRole_Sales Representative,2,Single,Income_Thấp,Upto 5k,9150,1,Yes,11,3,3,0,3,3,3,Tenure_Mới,2,1,2.0
